ZBOŻA;Gryka;41,7
ZBOŻA;Jęczmień jary browarny;21
ZBOŻA;Jęczmień jary pastewny;24
ZBOŻA;Jęczmień ozimy;24
ZBOŻA;Kukurydza na ziarno;26
ZBOŻA;Mieszanki zbożowe  na ziarno;27
ZBOŻA;Mieszanki zbożowo-strączkowe na ziarno;15
ZBOŻA;Owies;22,2
ZBOŻA;Pszenica jara;27
ZBOŻA;Pszenica ozima;27
ZBOŻA;Pszenżyto ozime;27
ZBOŻA;Pszenżyto jare;27
ZBOŻA;Żyto ozime;24
ZBOŻA;Żyto jare;24
BOBOWATE;Bobik, nasiona;8
BOBOWATE;Grochy, nasiona;8
BOBOWATE;Lędźwian;8
BOBOWATE;Łubiny, nasiona;0
BOBOWATE;Seradela;8
BOBOWATE;Soczewica;8
BOBOWATE;Soja, nasiona;15
BOBOWATE;Wyka ozima;8
BOBOWATE;Wyka jara;8
OLEISTE;Gorczyca, nasiona;60,5
OLEISTE;Rzepak, nasiona;50
OLEISTE;Rzepik ;50
OLEISTE;Słonecznik, nasiona;55
OKOPOWE;Burak cukrowy;3,5
OKOPOWE;Burak pastewny;2,5
OKOPOWE;Ziemniak późny;4,2
OKOPOWE;Ziemniak wczesny;3,3
OKOPOWE;Inne ;2,5
PASTEWNE;Lucerna, zielona masa;0
PASTEWNE;Kapusta pastewna, zielona masa;4,2
PASTEWNE;Koniczyna, zielona masa;0,0
PASTEWNE;Kukurydza, zielona masa;2,4
PASTEWNE;Mieszanki zbożowe-strączkowe, zielona masa;1,5
PASTEWNE;Mieszanki motylkowe z trawami, zielona masa;3,0
PASTEWNE;Owies, zielona masa;4,0
PASTEWNE;Rzepak, zielona masa;4,5
PASTEWNE;Seradela, zielona masa;0,0
PASTEWNE;Słonecznik, zielona masa;4,2
PASTEWNE;Trawy w uprawie polowej, zielona masa;5,1
PASTEWNE;Żyto, zielona masa;4,1
PASTEWNE;Inne motylkowe, zielona masa;4,8
PASTEWNE;Inne nie motylkowe, zielona masa;4,0
INNE, W TYM UPRAWY TRWAŁE;Chmiel;75,0
INNE, W TYM UPRAWY TRWAŁE;Konopie;40,0
INNE, W TYM UPRAWY TRWAŁE;Len oleisty, nasiona;40,3
INNE, W TYM UPRAWY TRWAŁE;Len włóknisty, słoma ;49,5
INNE, W TYM UPRAWY TRWAŁE;Tytoń, suche liście;50,0
ROŚLINY ENERGETYCZNE;Miskant olbrzymi;8,4
ROŚLINY ENERGETYCZNE;Ślazowiec pensylwański;7,0
ROŚLINY ENERGETYCZNE;Pozostałe;7,0
WARZYWA;Brokuł ;3,7
WARZYWA;Burak ćwikłowy;2,7
WARZYWA;Cebula ;1,9
WARZYWA;Cykoria sałatowa;2,5
WARZYWA;Fasola ;3,4
WARZYWA;Koper włoski, (fenkuł);2,4
WARZYWA;Jarmuż ;4,6
WARZYWA;Kalafior ;3,2
WARZYWA;Kalarepa ;3,0
WARZYWA;Kapusta brukselska;4,7
WARZYWA;Kapusta pekińska;1,6
WARZYWA;Kapusta głowiasta biała;2,3
WARZYWA;Kapusta głowiasta czerwona;2,6
WARZYWA;Kapusta włoska;2,8
WARZYWA;Marchew ;1,7
WARZYWA;Ogórek ;1,7
WARZYWA;Por ;2,6
WARZYWA;Papryka;4,0
WARZYWA;Pomidor;2,0
WARZYWA;Pietruszka korzeniowa;3,5
WARZYWA;Rzodkiewka;2,0
WARZYWA;Sałata głowiasta;1,8
WARZYWA;Sałata liściasta;1,3
WARZYWA;Seler korzeniowy;2,7
WARZYWA;Szpinak ;3,6
WARZYWA;Szparag;25,0
